Ind	Sex	Region	Haplogroup	Class	CNE	WBI	WE
POBI730105	M	NortheastEngland	I2	I2	0.305884	0.501328	0.192788
POBI730117	M	NortheastEngland	R1b1a2a1a1	R-U106	0.011226	0.531376	0.457398
POBI730132	M	NortheastEngland	R1b1a2a1a1	R-U106	0.474535	0.475399	0.050066
POBI730134	M	NortheastEngland	R1b1a2a1a1	R-U106	0.128619	0.688167	0.183215
POBI730138	M	NortheastEngland	J2b2	J	0.17602	0.453186	0.370794
POBI730142	M	NortheastEngland	R1b1a2a1a2b	R-P312	0.335949	0.365017	0.299035
POBI730150	M	NortheastEngland	I2	I2	0.129075	0.64827	0.222655
POBI730160	M	NortheastEngland	J2b2	J	0.221457	0.489732	0.288811
POBI730179	M	NortheastEngland	R1a1a	R1a	0.417112	0.582878	0.00001
POBI730201	M	NortheastEngland	R1b1a2a1a1	R-U106	0.347934	0.394055	0.258011
POBI730215	M	NortheastEngland	R1b1a2a1a1	R-U106	0.32532	0.587136	0.087544
POBI730248	M	NortheastEngland	R1b1a2a1a1	R-U106	0.416025	0.583965	0.00001
POBI730267	M	NortheastEngland	I1	I1	0.512348	0.435468	0.052184
POBI730273	M	NortheastEngland	I1	I1	0.329505	0.563027	0.107468
POBI730277	M	NortheastEngland	J2a1	J	0.593167	0.372842	0.033991
POBI730289	M	NortheastEngland	I1	I1	0.336561	0.32891	0.33453
POBI730302	M	NortheastEngland	R1b1a2a1a1c2a1	R-U106	0.072946	0.839553	0.087501
POBI730318	M	Oxfordshire	I1	I1	0.516328	0.206623	0.277048
POBI730334	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.734975	0.181586	0.083439
POBI730340	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.458301	0.111381	0.430318
POBI730352	M	Oxfordshire	R1b1a2a1a1	R-U106	0.585894	0.311615	0.102491
POBI730354	M	Oxfordshire	I2a1b2a	I2a1b	0.496674	0.28989	0.213436
POBI730386	M	Oxfordshire	I2a1b2a	I2a1b	0.808234	0.185404	0.006361
POBI730394	M	Oxfordshire	I2a1b1	I2a1b	0.402695	0.237255	0.36005
POBI730400	M	Oxfordshire	R1b1a2a1a1	R-U106	0.529015	0.234332	0.236653
POBI730421	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.388204	0.293378	0.318418
POBI730431	M	Oxfordshire	R1b1a2a1a1	R-U106	0.442708	0.059911	0.497381
POBI730433	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.4841	0.261769	0.254131
POBI730441	M	Oxfordshire	R1b1a2a1a1	R-U106	0.515695	0.208756	0.27555
POBI730469	M	Oxfordshire	R1b1a2a1a1	R-U106	0.324369	0.357789	0.317842
POBI730473	M	Oxfordshire	I1	I1	0.586182	0.367223	0.046595
POBI730489	M	Oxfordshire	I1	I1	0.6652	0.179998	0.154802
POBI730513	M	Yorkshire	I1	I1	0.363436	0.594194	0.04237
POBI730521	M	Yorkshire	I2a1b1	I2a1b	0.611308	0.157697	0.230995
POBI730528	M	Yorkshire	R1b1a2a1a1	R-U106	0.408915	0.532158	0.058927
POBI730542	M	Yorkshire	I1	I1	0.426217	0.528527	0.045256
POBI730558	M	Yorkshire	I1	I1	0.159777	0.584032	0.25619
POBI730560	M	Yorkshire	I1	I1	0.564804	0.276565	0.158632
POBI730566	M	Yorkshire	R1b1a2a1a1	R-U106	0.552282	0.33582	0.111898
POBI730576	M	Yorkshire	I1	I1	0.54615	0.318477	0.135373
POBI730580	M	Yorkshire	R1b1a2a1a1	R-U106	0.303908	0.543179	0.152913
POBI730582	M	Yorkshire	R1b1a2a1a1	R-U106	0.607798	0.392192	0.00001
POBI730592	M	Yorkshire	R1b1a2a1a2b	R-P312	0.432216	0.414951	0.152832
POBI730602	M	Yorkshire	I1	I1	0.441318	0.462614	0.096068
POBI730604	M	Yorkshire	G2a2b	G	0.339726	0.402604	0.257669
POBI730606	M	Yorkshire	R1a1a	R1a	0.686873	0.278685	0.034442
POBI730612	M	Yorkshire	I2a1b2a	I2a1b	0.496014	0.172153	0.331833
POBI730614	M	Yorkshire	R1a1a	R1a	0.400089	0.287467	0.312444
POBI730616	M	Yorkshire	R1b1a2a1a1c2a1	R-U106	0.416755	0.495175	0.088069
POBI730620	M	Yorkshire	R1b1a2a1a2c1a1a1a1	R-P312	0.298164	0.587299	0.114537
POBI730647	M	Yorkshire	I2a1b1	I2a1b	0.468013	0.531977	0.00001
POBI730657	M	Yorkshire	R1b1a2a1a2b	R-P312	0.628118	0.217955	0.153926
POBI730659	M	Yorkshire	R1b1a2a1a1	R-U106	0.502793	0.234781	0.262426
POBI730679	M	Yorkshire	R1b1a2a1a2c1a1a1a1	R-P312	0.309257	0.309429	0.381315
POBI730685	M	Yorkshire	R1b1a2a1a2b	R-P312	0.601296	0.08364	0.315064
POBI730693	M	Yorkshire	I1	I1	0.584298	0.040345	0.375357
POBI730707	M	Cheshire	R1b1a2a1a1c2a1	R-U106	0.545262	0.198461	0.256277
POBI730721	M	Cheshire	R1b1a2a1a2b	R-P312	0.368509	0.261449	0.370041
POBI730727	M	Cheshire	R1b1a2a1a1	R-U106	0.453913	0.05237	0.493717
POBI730740	M	Northamptonshire	G2a2b1a1a	G	0.576182	0.410115	0.013703
POBI730750	M	Cheshire	R1b1a2a1a2b	R-P312	0.383648	0.251826	0.364527
POBI730760	M	Northamptonshire	R1b1a2a1a2b	R-P312	0.412265	0.165729	0.422007
POBI730766	M	Northamptonshire	R1b1a2a1a1	R-U106	0.650439	0.00001	0.349551
POBI730770	M	Cheshire	R1b1a2a1a1c2a1	R-U106	0.308672	0.691318	0.00001
POBI730793	M	Cheshire	R1a1a	R1a	0.255781	0.744209	0.00001
POBI730799	M	Cheshire	R1b1a2a1a2b	R-P312	0.233695	0.524973	0.241332
POBI730803	M	Cheshire	R1b1a2a1a1c2b1a1a	R-U106	0.416712	0.210583	0.372704
POBI730805	M	Northamptonshire	I1	I1	0.385488	0.282235	0.332277
POBI730810	M	Northamptonshire	R1b1a2a1a1c2a1	R-U106	0.381952	0.192506	0.425542
POBI730814	M	Cheshire	I1	I1	0.462653	0.01708	0.520266
POBI730816	M	Cheshire	R1b1a2a1a1	R-U106	0.106814	0.610693	0.282493
POBI730818	M	Cheshire	I1	I1	0.582964	0.394372	0.022664
POBI730836	M	Northamptonshire	I1	I1	0.470704	0.137645	0.391651
POBI730845	M	Cheshire	R1b1a2a1a1	R-U106	0.284851	0.650923	0.064226
POBI730857	M	Northamptonshire	R1a1a	R1a	0.498112	0.355739	0.146149
POBI730875	M	Northamptonshire	I2a1b1	I2a1b	0.375866	0.085239	0.538895
POBI730884	M	Herefordshire	R1b1a2a1a1	R-U106	0.32004	0.571126	0.108834
POBI730890	M	Leicestershire	I1	I1	0.65301	0.34698	0.00001
POBI730894	M	Leicestershire	R1b1a2a1a1	R-U106	0.626731	0.164044	0.209225
POBI730908	M	Herefordshire	R1b1a2a1a1	R-U106	0.408309	0.446171	0.14552
POBI730916	M	Leicestershire	R1b1a2a1a2b	R-P312	0.337751	0.498231	0.164018
POBI730921	M	Leicestershire	I2a1b2a	I2a1b	0.631079	0.335628	0.033293
POBI730923	M	Leicestershire	R1b1a2a1a1c2a1	R-U106	0.608444	0.259481	0.132075
POBI730927	M	Leicestershire	J2a1	J	0.642955	0.212064	0.144982
POBI730939	M	Leicestershire	I1	I1	0.474071	0.262509	0.263419
POBI730951	M	Leicestershire	R1b1a2a1a2b	R-P312	0.38201	0.392465	0.225525
POBI730964	M	Leicestershire	R1b1a2a1a1c2a1	R-U106	0.312455	0.289436	0.398109
POBI730966	M	Leicestershire	I2	I2	0.485217	0.113817	0.400966
POBI730970	M	Leicestershire	R1b1a2a1a1c2b1	R-U106	0.651091	0.140033	0.208876
POBI730978	M	Herefordshire	I2a1b1	I2a1b	0.259983	0.333253	0.406763
POBI731003	M	Herefordshire	R1b1a2a1a1	R-U106	0.218999	0.46432	0.316681
POBI731021	M	Leicestershire	R1b1a2a1a1	R-U106	0.414537	0.14374	0.441723
POBI731022	M	Leicestershire	I1	I1	0.414748	0.349984	0.235268
POBI731026	M	Herefordshire	R1b1a2a1a1	R-U106	0.268325	0.26829	0.463385
POBI731052	M	Herefordshire	I2	I2	0.13434	0.627945	0.237714
POBI731054	M	Leicestershire	R1b1a2a1a2b	R-P312	0.477302	0.246882	0.275815
POBI731060	M	Leicestershire	R1b1a2a1a1	R-U106	0.559973	0.202933	0.237094
POBI731062	M	Leicestershire	R1b1a2a1a1	R-U106	0.299112	0.206091	0.494797
POBI731083	M	Gloucestershire	I1	I1	0.246114	0.627528	0.126359
POBI731087	M	Hampshire	I2	I2	0.352626	0.192427	0.454948
POBI731096	M	ForestofDean	R1b1a2a1a2b	R-P312	0.312391	0.247214	0.440395
POBI731121	M	ForestofDean	R1b1a2a1a2b	R-P312	0.760889	0.239101	0.00001
POBI731129	M	Gloucestershire	R1b1a2a1a1	R-U106	0.639307	0.021241	0.339452
POBI731133	M	Hampshire	I1	I1	0.503235	0.215101	0.281664
POBI731135	M	Hampshire	I1	I1	0.543411	0.145523	0.311066
POBI731137	M	Hampshire	I1	I1	0.364093	0.42332	0.212587
POBI731143	M	ForestofDean	I1	I1	0.44467	0.55532	0.00001
POBI731152	M	Gloucestershire	R1a1a	R1a	0.412488	0.287046	0.300466
POBI731154	M	Gloucestershire	I2a1b1	I2a1b	0.512197	0.154613	0.333191
POBI731168	M	ForestofDean	R1a1a	R1a	0.27864	0.540171	0.181189
POBI731170	M	ForestofDean	R1b1a2a1a1	R-U106	0.264507	0.591243	0.14425
POBI731174	M	Gloucestershire	I2a1b1	I2a1b	0.394194	0.083927	0.521879
POBI731185	M	Hampshire	R1b1a2a1a1c2b1a1a1a	R-U106	0.572832	0.206475	0.220692
POBI731207	M	Hampshire	I1	I1	0.477236	0.236085	0.286679
POBI731211	M	ForestofDean	R1b1a2a1a1	R-U106	0.664323	0.273946	0.061731
POBI731213	M	ForestofDean	I1	I1	0.336745	0.44863	0.214625
POBI731220	M	Gloucestershire	R1b1a2a1a1	R-U106	0.611763	0.254899	0.133338
POBI731246	M	Gloucestershire	I2a1b1	I2a1b	0.328813	0.459414	0.211773
POBI731248	M	Hampshire	R1b1a2a1a1	R-U106	0.368126	0.303053	0.328821
POBI731251	M	Hampshire	J2b2	J	0.43459	0.220845	0.344565
POBI731277	M	Nottinghamshire	E1b1b1b1	E	0.503306	0.372916	0.123778
POBI731287	M	Nottinghamshire	R1b1a2a1a1	R-U106	0.484505	0.287501	0.227994
POBI731297	M	Nottinghamshire	I1	I1	0.464698	0.192428	0.342875
POBI731299	M	Nottinghamshire	R1b1a2a1a1c2b1a	R-U106	0.3796	0.235098	0.385302
POBI731301	M	Nottinghamshire	I2a1a1a	I2a1a	0.319735	0.130951	0.549314
POBI731319	M	Nottinghamshire	I2a1b1	I2a1b	0.646962	0.148225	0.204813
POBI731329	M	Cumbria	R1b1a2a1a2b	R-P312	0.462945	0.537045	0.00001
POBI731339	M	Nottinghamshire	I1	I1	0.477739	0.348307	0.173954
POBI731343	M	Nottinghamshire	E1b1	E	0.33015	0.139211	0.530639
POBI731345	M	Nottinghamshire	R1b1a2a1a1	R-U106	0.370631	0.272752	0.356617
POBI731349	M	Nottinghamshire	R1b1a2a1a1c2a1	R-U106	0.337772	0.177898	0.48433
POBI731375	M	Nottinghamshire	R1b1a2a1a1	R-U106	0.562348	0.31862	0.119032
POBI731391	M	Nottinghamshire	I1	I1	0.505855	0.169975	0.32417
POBI731397	M	Nottinghamshire	I1	I1	0.469315	0.111442	0.419243
POBI731448	M	Dorset	I1	I1	0.672654	0.038859	0.288487
POBI731454	M	Dorset	R1b1a2a1a1	R-U106	0.48039	0.062293	0.457316
POBI731462	M	Yorkshire	I1	I1	0.482669	0.354123	0.163208
POBI731479	M	Dorset	I1	I1	0.27807	0.282627	0.439303
POBI731512	M	Yorkshire	I1	I1	0.561641	0.438349	0.00001
POBI731522	M	Dorset	R1b1a2a1a1	R-U106	0.510404	0.097074	0.392522
POBI731524	M	Dorset	N1c1	N	0.519547	0.074312	0.40614
POBI731528	M	Dorset	R1b1a2a1a1	R-U106	0.411091	0.328309	0.260601
POBI731547	M	Dorset	R1b1a2a1a1c2a1	R-U106	0.206244	0.314835	0.478921
POBI731551	M	Dorset	I2a1b1	I2a1b	0.345035	0.24947	0.405495
POBI731557	M	Yorkshire	R1b1a2a1a1c2a1	R-U106	0.385369	0.175496	0.439135
POBI731563	M	Yorkshire	R1b1a2a1a2b	R-P312	0.472796	0.392885	0.13432
POBI731567	M	Dorset	R1b1a2a1a1	R-U106	0.533369	0.193129	0.273502
POBI731572	M	Dorset	I1	I1	0.519452	0.20645	0.274098
POBI731573	M	Dorset	I2a1b2a	I2a1b	0.368119	0.373863	0.258017
POBI731598	M	Yorkshire	I2	I2	0.278147	0.499665	0.222187
POBI731602	M	Yorkshire	R1b1a2a1a1	R-U106	0.404651	0.265379	0.329969
POBI731616	M	Dorset	J2a1	J	0.336886	0.428945	0.234169
POBI731620	M	Yorkshire	I2a1b1	I2a1b	0.29512	0.332166	0.372714
POBI731663	M	Lincolnshire	I1	I1	0.515292	0.237075	0.247633
POBI731676	M	Sussex	I1	I1	0.5045	0.149537	0.345962
POBI731680	M	Sussex	I1	I1	0.734009	0.205785	0.060206
POBI731701	M	Sussex	I1	I1	0.294016	0.26683	0.439153
POBI731703	M	Sussex	G2a2b	G	0.387299	0.332095	0.280606
POBI731707	M	Lincolnshire	R1a1a	R1a	0.542322	0.351963	0.105714
POBI731715	M	Sussex	R1a1a	R1a	0.467584	0.241407	0.291009
POBI731733	M	Sussex	E1b1b1b2a1a	E	0.416574	0.131414	0.452012
POBI731751	M	BanffandBuchan	R1b1a2a1a2c1a1a1a1	R-P312	0.00001	0.99998	0.00001
POBI731761	M	Sussex	R1b1a2a1a1	R-U106	0.341576	0.17305	0.485374
POBI731763	M	Sussex	R1b1a2a1a1	R-U106	0.409637	0.273033	0.317331
POBI731768	M	Sussex	R1b1a2a1a1	R-U106	0.47761	0.227204	0.295186
POBI731770	M	Sussex	I2a1b1	I2a1b	0.217992	0.22004	0.561967
POBI731772	M	Sussex	R1b1a2a1a1	R-U106	0.441359	0.309827	0.248814
POBI731778	M	Lincolnshire	E1b1	E	0.274432	0.285394	0.440174
POBI731782	M	Sussex	R1b1a2a1a1	R-U106	0.471567	0.419423	0.109011
POBI731790	M	Sussex	R1b1a2a1a1	R-U106	0.506226	0.201846	0.291928
POBI731792	M	Sussex	I1	I1	0.567598	0.23407	0.198332
POBI731802	M	Lincolnshire	R1b1a2a1a1	R-U106	0.287416	0.198847	0.513736
POBI731808	M	Sussex	R1b1a2a1a2b	R-P312	0.46806	0.26328	0.26866
POBI731823	M	Norfolk	I1	I1	0.501739	0.183974	0.314287
POBI731827	M	Norfolk	R1b1a2a1a2b	R-P312	0.558022	0.175845	0.266133
POBI731829	M	Norfolk	J2b2	J	0.443162	0.404958	0.151881
POBI731850	M	Norfolk	J2a1h2a1	J	0.454651	0.121201	0.424148
POBI731874	M	Norfolk	R1b1a2a1a2b	R-P312	0.572344	0.170825	0.256831
POBI731878	M	Lancashire	R1b1a2a1a1	R-U106	0.513415	0.419657	0.066928
POBI731897	M	Norfolk	R1b1a2a1a1	R-U106	0.333272	0.21757	0.449158
POBI731917	M	Norfolk	R1b1a2a1a1	R-U106	0.456528	0.086793	0.456679
POBI731921	M	Norfolk	R1b1a2a1a1	R-U106	0.778001	0.010405	0.211594
POBI731926	M	Lancashire	E	E	0.551182	0.448808	0.00001
POBI731930	M	Worcestershire	R1b1a2a1a2c1a1a1a1	R-P312	0.402747	0.532697	0.064555
POBI731932	M	Worcestershire	R1b1a2a1a2b	R-P312	0.249798	0.211234	0.538968
POBI731934	M	Worcestershire	I1	I1	0.550304	0.108496	0.3412
POBI731950	M	Lancashire	R1b1a2a1a1	R-U106	0.572105	0.427885	0.00001
POBI731967	M	Norfolk	R1b1a2a1a1c2a1	R-U106	0.543665	0.167067	0.289268
POBI731971	M	Lancashire	R1b1a2a1a1	R-U106	0.532636	0.380487	0.086878
POBI731973	M	Lancashire	R1b1a2a1a1	R-U106	0.366161	0.45793	0.175909
POBI731981	M	Worcestershire	R1b1a2a1a1c2b1	R-U106	0.595783	0.220427	0.18379
POBI731990	M	Norfolk	R1b1a2a1a1	R-U106	0.29291	0.173991	0.533099
POBI731992	M	Lancashire	J2a1	J	0.457223	0.541676	0.001101
POBI732010	M	Devon	J2b2	J	0.377277	0.22493	0.397793
POBI732014	M	Devon	R1b1a2a1a1	R-U106	0.500844	0.290919	0.208237
POBI732016	M	Devon	R1b1a2a1a1	R-U106	0.365057	0.318626	0.316317
POBI732034	M	Devon	R1b1a2a1a1	R-U106	0.371572	0.313258	0.31517
POBI732037	M	Devon	R1b1a2a1a1	R-U106	0.243255	0.431138	0.325607
POBI732041	M	Devon	J2	J	0.307057	0.239554	0.45339
POBI732051	M	NortheastEngland	R1b1a2a1a1c2b1	R-U106	0.322078	0.677912	0.00001
POBI732082	M	Devon	R1b1a2a1a1	R-U106	0.413433	0.372611	0.213956
POBI732100	M	SouthPembrokeshire	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI732106	M	Devon	R1b1a2a1a1	R-U106	0.429832	0.396948	0.17322
POBI732109	M	Devon	I1	I1	0.405455	0.594535	0.00001
POBI732113	M	Devon	I2a1b1	I2a1b	0.440049	0.298823	0.261127
POBI732117	M	Devon	I2a1b1	I2a1b	0.412388	0.195839	0.391773
POBI732125	M	SouthPembrokeshire	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI732129	M	Devon	E1b1	E	0.387074	0.334923	0.278004
POBI732133	M	Devon	J2b2	J	0.256056	0.204522	0.539421
POBI732158	M	Devon	R1b1a2a1a1	R-U106	0.393539	0.260033	0.346428
