Ind	Sex	Region	Haplogroup	Class	CNE	WBI	WE
POBI732901	M	Yorkshire	I2a1b1	I2a1b	0.820943	0.179047	0.00001
POBI732902	M	Yorkshire	R1b1a2a1a2b	R-P312	0.403448	0.409911	0.186641
POBI732905	M	Yorkshire	R1b1a2a1a2c1a1a1a1	R-P312	0.612873	0.311244	0.075883
POBI732906	M	Yorkshire	I2a1b1	I2a1b	0.333735	0.363536	0.302729
POBI732911	M	Oxfordshire	R1b1a2a1a1	R-U106	0.390366	0.232895	0.376738
POBI732918	M	Yorkshire	I2a1b1	I2a1b	0.482861	0.372795	0.144345
POBI732926	M	Yorkshire	R1b1a2a1a1	R-U106	0.187663	0.480774	0.331563
POBI732936	M	Yorkshire	E1b1b1b1a1	E	0.399159	0.222313	0.378528
POBI732937	M	Yorkshire	G2a2b	G	0.566945	0.242139	0.190917
POBI732942	M	Yorkshire	I1	I1	0.394292	0.369446	0.236262
POBI732949	M	Yorkshire	R1b1a2a1a1	R-U106	0.545014	0.287101	0.167886
POBI732952	M	Yorkshire	J2a1b1	J	0.253002	0.577811	0.169187
POBI732954	M	Yorkshire	I2a1b1	I2a1b	0.151683	0.510901	0.337416
POBI732962	M	Cumbria	J2a1h2a1	J	0.203833	0.715832	0.080335
POBI732964	M	Cumbria	R1b1a2a1a1	R-U106	0.323294	0.676696	0.00001
POBI732966	M	Cumbria	R1b1a2a1a2b	R-P312	0.537142	0.462848	0.00001
POBI732973	M	Cumbria	R1b1a2a1a1	R-U106	0.327645	0.517469	0.154886
POBI732974	M	Cumbria	R1b1a2a1a2b	R-P312	0.178823	0.522064	0.299114
POBI732975	M	Cumbria	J2a1h2a1	J	0.244036	0.540958	0.215006
POBI732976	M	Cumbria	I1	I1	0.310638	0.656468	0.032894
POBI732980	M	Cumbria	I2	I2	0.00001	0.745828	0.254162
POBI732985	M	Cumbria	I1	I1	0.421116	0.313867	0.265017
POBI732989	M	Cumbria	R1b1a2a1a1	R-U106	0.345067	0.456666	0.198267
POBI732990	M	Cumbria	R1b1a2a1a2b	R-P312	0.46628	0.50555	0.02817
POBI732992	M	Cumbria	R1b1a2a1a1c2b1a	R-U106	0.31663	0.595408	0.087962
POBI733014	M	Cumbria	I2	I2	0.381692	0.388749	0.229559
POBI733018	M	Leicestershire	R1b1a2a1a2b	R-P312	0.226443	0.253659	0.519898
POBI733019	M	Leicestershire	R1b1a2a1a2b	R-P312	0.567886	0.270749	0.161365
POBI733032	M	Cumbria	R1b1a2a1a1	R-U106	0.318077	0.66178	0.020143
POBI733036	M	Cumbria	I2a1b1	I2a1b	0.662556	0.337434	0.00001
POBI733041	M	Leicestershire	R1b1a2a1a1c2a1	R-U106	0.266955	0.471879	0.261166
POBI733042	M	Leicestershire	R1a1a	R1a	0.60178	0.237455	0.160766
POBI733046	M	Cumbria	R1b1a2a1a1	R-U106	0.508102	0.467017	0.024881
POBI733051	M	Cumbria	R1b1a2a1a1	R-U106	0.400403	0.582462	0.017135
POBI733053	M	Leicestershire	I1	I1	0.391316	0.063825	0.54486
POBI733060	M	Lincolnshire	G2a2b	G	0.457977	0.212874	0.329149
POBI733064	M	Lincolnshire	R1a1a	R1a	0.576745	0.18138	0.241875
POBI733071	M	Lincolnshire	R1b1a2a1a1	R-U106	0.446475	0.142819	0.410707
POBI733072	M	Lincolnshire	R1b1a2a1a1	R-U106	0.417389	0.228551	0.354059
POBI733075	M	Lincolnshire	I2a1b2a	I2a1b	0.32096	0.072226	0.606814
POBI733077	M	Lincolnshire	R1b1a2a1a1	R-U106	0.450463	0.170247	0.37929
POBI733078	M	Lincolnshire	I1	I1	0.293578	0.34174	0.364681
POBI733087	M	Lincolnshire	R1b1a2a1a1	R-U106	0.607546	0.208499	0.183955
POBI733089	M	Lincolnshire	R1b1a2a1a1	R-U106	0.341386	0.255245	0.403369
POBI733090	M	Nottinghamshire	R1b1a2a1a1	R-U106	0.146084	0.447393	0.406523
POBI733091	M	Nottinghamshire	R1b1a2a1a1	R-U106	0.47848	0.228365	0.293155
POBI733108	M	Lincolnshire	R1b1a2a1a1	R-U106	0.238028	0.229116	0.532857
POBI733119	M	Lincolnshire	I2a1b1	I2a1b	0.4824	0.144642	0.372958
POBI733141	M	ForestofDean	I1	I1	0.589493	0.333899	0.076608
POBI733165	M	NortheastEngland	R1b1a2a1a1c2b1	R-U106	0.435123	0.528651	0.036226
POBI733166	M	NortheastEngland	R1b1a2a1a2b	R-P312	0.32177	0.674322	0.003908
POBI733167	M	NortheastEngland	R1b1a2a1a1	R-U106	0.310559	0.358543	0.330898
POBI733168	M	NortheastEngland	R1b1a2a1a1	R-U106	0.346325	0.602039	0.051635
POBI733169	M	NortheastEngland	R1a1a	R1a	0.378895	0.205352	0.415753
POBI733171	M	NortheastEngland	R1b1a2a1a1	R-U106	0.432989	0.495527	0.071483
POBI733174	M	NortheastEngland	R1b1a2a1a1	R-U106	0.483395	0.340197	0.176408
POBI733176	M	NortheastEngland	R1b1a2a1a1c2b1	R-U106	0.162798	0.606346	0.230857
POBI733183	M	NortheastEngland	I1	I1	0.136728	0.698804	0.164468
POBI733186	M	NortheastEngland	R1b1a2a1a1	R-U106	0.390407	0.444969	0.164624
POBI733187	M	NortheastEngland	J	J	0.394201	0.499241	0.106558
POBI733189	M	NortheastEngland	R1b1a2a1a1	R-U106	0.314139	0.513387	0.172473
POBI733190	M	NortheastEngland	R1b1a2a1a1c2a1	R-U106	0.373055	0.361142	0.265804
POBI733194	M	NortheastEngland	R1b1a2a1a1	R-U106	0.248197	0.640768	0.111035
POBI733198	M	Norfolk	E1b1	E	0.712377	0.017978	0.269645
POBI733199	M	Norfolk	R1b1a2a1a1	R-U106	0.527454	0.031716	0.44083
POBI733208	M	Norfolk	R1b1a2a1a1	R-U106	0.384223	0.105795	0.509983
POBI733209	M	Norfolk	I1	I1	0.154586	0.278868	0.566546
POBI733215	M	Norfolk	R1b1a2a1a1	R-U106	0.388895	0.1103	0.500805
POBI733218	M	Norfolk	I1	I1	0.462187	0.197347	0.340466
POBI733220	M	Norfolk	R1b1a2a1a1	R-U106	0.617483	0.00001	0.382507
POBI733224	M	Norfolk	I1	I1	0.332128	0.219601	0.448272
POBI733227	M	Norfolk	R1b1a2a1a1	R-U106	0.453384	0.336265	0.210351
POBI733228	M	Norfolk	R1b1a2a1a1	R-U106	0.480468	0.277876	0.241656
POBI733232	M	Norfolk	I2a1b1	I2a1b	0.425753	0.272434	0.301813
POBI733233	M	Norfolk	R1b1a2a1a1c2a1	R-U106	0.670395	0.00001	0.329595
POBI733234	M	Norfolk	G2a2b2a1a1a1	G	0.516994	0.289943	0.193063
POBI733250	M	Devon	I1	I1	0.44336	0.405442	0.151198
POBI733253	M	Devon	I1	I1	0.146362	0.363265	0.490373
POBI733262	M	Devon	I1	I1	0.262826	0.465304	0.27187
POBI733267	M	Devon	R1b1a2a1a1	R-U106	0.248793	0.463943	0.287264
POBI733280	M	Lancashire	I1	I1	0.475781	0.127556	0.396663
POBI733285	M	Lancashire	R1b1a2a1a2b	R-P312	0.37998	0.394497	0.225523
POBI733292	M	NorthWales	R1a1a	R1a	0.00001	0.99998	0.00001
POBI733294	M	NorthWales	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI733296	M	NorthWales	R1b1a2a1a2b	R-P312	0.00001	0.99998	0.00001
POBI733297	M	NorthWales	R1b1a2a1a2b	R-P312	0.00001	0.99998	0.00001
POBI733309	M	NorthWales	I2a1b1	I2a1b	0.00001	0.99998	0.00001
POBI733312	M	NorthWales	G2a2b	G	0.00001	0.99998	0.00001
POBI733346	M	ArgyleandBute	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI733350	M	BanffandBuchan	I2a1b1	I2a1b	0.00001	0.99998	0.00001
POBI733353	M	BanffandBuchan	E1b1	E	0.00001	0.99998	0.00001
POBI733359	M	Hampshire	I1	I1	0.431417	0.544893	0.02369
POBI733367	M	NortheastEngland	R1b1a2a1a2b	R-P312	0.290825	0.445961	0.263214
POBI733382	M	NorthPembrokeshire	R1a1a	R1a	0.00001	0.99998	0.00001
POBI733385	M	Northamptonshire	T	T	0.497038	0.228011	0.274951
POBI733391	M	Cumbria	R1b1a2a1a2b	R-P312	0.475783	0.475534	0.048683
POBI733392	M	Northamptonshire	R1b1a2a1a2b	R-P312	0.281962	0.352126	0.365912
POBI733396	M	Northamptonshire	R1b1a2a1a2b	R-P312	0.578112	0.294991	0.126898
POBI733403	M	Devon	E1b1b1b2a1a	E	0.229781	0.366394	0.403826
POBI733409	M	Suffolk	R1b1a2a1a1	R-U106	0.661224	0.151054	0.187722
POBI733410	M	Suffolk	R1b1a2a1a1	R-U106	0.559169	0.306956	0.133875
POBI733415	M	Devon	R1b1a2a1a1c2b1	R-U106	0.379349	0.452398	0.168253
POBI733416	M	Sussex	I1	I1	0.419615	0.158274	0.422112
POBI733420	M	Sussex	I2a1b2a	I2a1b	0.373644	0.398972	0.227384
POBI733423	M	Sussex	I2a1b1	I2a1b	0.589548	0.320339	0.090113
POBI733432	M	Sussex	I1	I1	0.419647	0.183798	0.396554
POBI733438	M	Worcestershire	J2a1	J	0.481457	0.233959	0.284583
POBI733446	M	BanffandBuchan	I2a1b2a	I2a1b	0.00001	0.99998	0.00001
POBI733447	M	BanffandBuchan	R1b1a2a1a2b	R-P312	0.00001	0.99998	0.00001
POBI733452	M	Cheshire	I1	I1	0.20998	0.583683	0.206337
POBI733460	M	Cornwall	I1	I1	0.221406	0.401019	0.377575
POBI733462	M	Cornwall	I1	I1	0.375623	0.509668	0.114709
POBI733463	M	Derbyshire	E1b1	E	0.499632	0.420054	0.080314
POBI733470	M	Cornwall	I2a1b1	I2a1b	0.193719	0.378734	0.427547
POBI733476	M	Cumbria	R1b1a2a1a2b	R-P312	0.464067	0.535923	0.00001
POBI733481	M	Dorset	R1b1a2a1a2b	R-P312	0.42739	0.154823	0.417787
POBI733495	M	Gloucestershire	G2a2b	G	0.446096	0.378056	0.175848
POBI733497	M	Gloucestershire	I1	I1	0.349191	0.366764	0.284045
POBI733509	M	Gloucestershire	R1b1a2a1a1	R-U106	0.42644	0.321025	0.252535
POBI733511	M	Yorkshire	I2a1b2a	I2a1b	0.439558	0.407165	0.153277
POBI733519	M	Lincolnshire	R1b1a2a1a2b	R-P312	0.527479	0.264189	0.208332
POBI733524	M	NorthernIreland	I2a1b1	I2a1b	0.00001	0.99998	0.00001
POBI733526	M	NorthernIreland	R1b1a2a1a2c1a1a1a1	R-P312	0.00001	0.99998	0.00001
POBI733527	M	NorthernIreland	I1	I1	0.00001	0.99998	0.00001
POBI733532	M	NorthernIreland	I2a1b1	I2a1b	0.00001	0.99998	0.00001
POBI733545	M	Suffolk	R1b1a2a1a2b	R-P312	0.429781	0.025204	0.545016
POBI733564	M	Lincolnshire	R1b1a2a1a1c2b1	R-U106	0.629521	0.161464	0.209016
POBI733567	M	NorthWales	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI733576	M	Oxfordshire	R1b1a2a1a1	R-U106	0.54801	0.410293	0.041698
POBI733578	M	Northamptonshire	R1b1a2a1a2b	R-P312	0.742317	0.133863	0.123819
POBI733581	M	Gloucestershire	I1	I1	0.298898	0.638966	0.062135
POBI733598	M	BanffandBuchan	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
POBI733621	M	Norfolk	R1a1a	R1a	0.394613	0.235547	0.36984
POBI733630	M	Yorkshire	I2a1b1	I2a1b	0.494806	0.312603	0.192591
POBI733653	M	Cornwall	R1b1a2a1a1	R-U106	0.134712	0.552076	0.313212
POBI733655	M	Cornwall	J2b2	J	0.001267	0.657076	0.341657
POBI733656	M	Oxfordshire	I2a1b1	I2a1b	0.641964	0.020468	0.337568
POBI733662	M	Norfolk	R1a1a	R1a	0.351033	0.344408	0.30456
POBI733663	M	Kent	R1b1a2a1a2b	R-P312	0.243501	0.311496	0.445003
POBI733681	M	Yorkshire	R1a1a	R1a	0.710188	0.191144	0.098668
POBI733684	M	Devon	R1b1a2a1a1	R-U106	0.422214	0.331414	0.246372
POBI733690	M	Cornwall	R1b1a2a1a1	R-U106	0.248851	0.45874	0.292409
POBI733706	M	Lancashire	R1a1a	R1a	0.549588	0.450402	0.00001
POBI733707	M	Yorkshire	R1a1a	R1a	0.461961	0.376061	0.161978
POBI733710	M	Devon	R1b1a2a1a1	R-U106	0.522443	0.274998	0.202559
POBI733729	M	NorthWales	R1b1a2a1a2d	R-P312	0.00001	0.99998	0.00001
